date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2023-11-28,5,11,0,0,14,0,11,5,0,0,0,0,0,1,3,0,2,4,5,0,4,1,10,-1,0,0,0,6,0
2023-11-29,-5,0,0,-1,4,0,2175,0,0,0,0,0,0,1,-3,0,0,9,987,5,-5,-7,0,0,0,4,0,790,0
2023-11-30,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,3,7,10,5,4,5,9,0,2,-4,0,8,0
2023-12-01,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-12-04,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-12-05,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-12-06,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-12-07,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-12-08,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-12-11,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-12-12,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-12-13,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-12-14,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-12-15,-4,12,0,-1,8,0,9,0,0,-7,0,0,0,5,1,2,0,4,5,4,141,-1,10,0,0,0,0,4,4
2023-12-18,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,2,0,7,10,4,4,5,9,0,2,0,0,8,4
2023-12-19,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-12-20,6,8,0,1,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-12-21,-8,0,0,-1,0,0,-8,0,2,-13,0,0,0,116,-5,0,0,2,-5,9,-1,-7,0,0,8,14,0,116,0
2023-12-22,-3,11,0,209,9,0,16,2,-2,-5,0,2,0,5,1,0,0,5,8,2,-1,527,8,0,1,-3,0,5,4
2023-12-26,6,8,0,2,13,0,22,2,0,4,0,2,0,3,1,0,0,7,10,11,4,5,9,0,2,-8,0,8,4
2023-12-27,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,-3,0,8,0
2023-12-28,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-12-29,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2024-01-02,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2024-01-03,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2024-01-04,-3,12,0,-1,10,0,10,0,0,-8,0,0,0,1,-1,0,0,0,0,5,34,-4,10,0,5,0,0,5,0
2024-01-05,0,8,0,0,14,0,21,0,0,47,0,0,0,0,0,0,0,2,9,5,6,0,9,0,0,0,0,7,0
2024-01-08,2,8,0,2,14,0,21,5,0,0,0,0,0,2,0,0,1,6,9,0,6,5,9,1,4,0,0,7,0
2024-01-09,-6,1063,0,-2,0,0,-11,-4,0,0,0,0,0,26,-5,0,0,0,-6,6,-5,-8,443,1,7,9,0,0,0
2024-01-10,6,8,0,2,13,0,22,1,0,4,0,0,0,3,1,0,1,7,10,6,4,5,9,0,2,-8,0,8,0
2024-01-11,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,-1,0,8,0
2024-01-12,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2024-01-16,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2024-01-17,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2024-01-18,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2024-01-19,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2024-01-22,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2024-01-23,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2024-01-24,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2024-01-25,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2024-01-26,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2024-01-29,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2024-01-30,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2024-01-31,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2024-02-01,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2024-02-02,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2024-02-05,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2024-02-06,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
